251: vertex_id[287] = { stop( Leningradskoye sh 50 ), bus( 100k), pos( 37 ) }
252: vertex_id[2540] = { stop( Leningradskoye sh 50 ), bus( 40k), pos( 25 ) }
253: vertex_id[378] = { stop( Leningradskoye sh 50 ), bus( 78k), pos( 17 ) }
254: vertex_id[439] = { stop( Leningradskoye sh 50 ), bus( 76k), pos( 38 ) }
255: vertex_id[943] = { stop( Leningradskoye sh 50 ), bus( 16k), pos( 29 ) }
256: vertex_id[624] = { stop( Leningradskoye sh 50 ), bus( 66), pos( 17 ) }
257: vertex_id[777] = { stop( Leningradskoye sh 50 ), bus( 62), pos( 37 ) }
258: vertex_id[883] = { stop( Leningradskoye sh 50 ), bus( 52), pos( 36 ) }
259: vertex_id[909] = { stop( Leningradskoye sh 50 ), bus( 20), pos( 18 ) }
260: vertex_id[969] = { stop( Leningradskoye sh 50 ), bus( 26), pos( 20 ) }
261: vertex_id[1094] = { stop( Leningradskoye sh 50 ), bus( 14), pos( 30 ) }
262: vertex_id[1008] = { stop( Leningradskoye sh 50 ), bus( 32), pos( 35 ) }
263: vertex_id[2728] = { stop( Ostozhenka 100 ), bus( 58), pos( 19 ) }
264: vertex_id[2311] = { stop( Ostozhenka 100 ), bus( 68k), pos( 23 ) }
265: vertex_id[2072] = { stop( Ostozhenka 100 ), bus( 12), pos( 21 ) }
266: vertex_id[1801] = { stop( Ostozhenka 100 ), bus( 4), pos( 7 ) }
267: vertex_id[1517] = { stop( Ostozhenka 100 ), bus( 28), pos( 23 ) }
268: vertex_id[1652] = { stop( Ostozhenka 100 ), bus( 48k), pos( 23 ) }
269: vertex_id[1422] = { stop( Ostozhenka 100 ), bus( 74k), pos( 23 ) }
270: vertex_id[1822] = { stop( Ostozhenka 100 ), bus( 98), pos( 12 ) }
271: vertex_id[1368] = { stop( Ostozhenka 100 ), bus( 36), pos( 11 ) }
272: vertex_id[1160] = { stop( Ostozhenka 100 ), bus( 80k), pos( 11 ) }
273: vertex_id[1777] = { stop( Ostozhenka 100 ), bus( 24k), pos( 9 ) }
274: vertex_id[1122] = { stop( Ostozhenka 100 ), bus( 34), pos( 22 ) }
275: vertex_id[145] = { stop( Ostozhenka 100 ), bus( 88k), pos( 15 ) }
276: vertex_id[273] = { stop( Ostozhenka 100 ), bus( 100k), pos( 23 ) }
277: vertex_id[422] = { stop( Ostozhenka 100 ), bus( 76k), pos( 21 ) }
278: vertex_id[927] = { stop( Ostozhenka 100 ), bus( 16k), pos( 13 ) }
279: vertex_id[615] = { stop( Ostozhenka 100 ), bus( 66), pos( 8 ) }
280: vertex_id[588] = { stop( Ostozhenka 100 ), bus( 72k), pos( 18 ) }
281: vertex_id[761] = { stop( Ostozhenka 100 ), bus( 62), pos( 21 ) }
282: vertex_id[798] = { stop( Ostozhenka 100 ), bus( 60), pos( 14 ) }
283: vertex_id[959] = { stop( Ostozhenka 100 ), bus( 26), pos( 10 ) }
284: vertex_id[1081] = { stop( Ostozhenka 100 ), bus( 14), pos( 17 ) }
285: vertex_id[1750] = { stop( Ostozhenka 100 ), bus( 38k), pos( 19 ) }
286: vertex_id[868] = { stop( Ostozhenka 100 ), bus( 52), pos( 21 ) }
287: vertex_id[2684] = { stop( Ostozhenka 100 ), bus( 30), pos( 19 ) }
288: vertex_id[993] = { stop( Ostozhenka 100 ), bus( 32), pos( 20 ) }
289: vertex_id[1038] = { stop( Ostozhenka 100 ), bus( 56k), pos( 22 ) }
290: vertex_id[2551] = { stop( Pr Vernadskogo 80 ), bus( 44), pos( 5 ) }
291: vertex_id[2520] = { stop( Pr Vernadskogo 80 ), bus( 40k), pos( 5 ) }
292: vertex_id[2297] = { stop( Pr Vernadskogo 80 ), bus( 68k), pos( 9 ) }
293: vertex_id[1503] = { stop( Pr Vernadskogo 80 ), bus( 28), pos( 9 ) }
294: vertex_id[1900] = { stop( Pr Vernadskogo 80 ), bus( 42), pos( 2 ) }
295: vertex_id[1638] = { stop( Pr Vernadskogo 80 ), bus( 48k), pos( 9 ) }
296: vertex_id[1408] = { stop( Pr Vernadskogo 80 ), bus( 74k), pos( 9 ) }
297: vertex_id[2946] = { stop( Pr Vernadskogo 80 ), bus( 54), pos( 3 ) }
298: vertex_id[136] = { stop( Pr Vernadskogo 80 ), bus( 88k), pos( 6 ) }
